"otherChangesBeforeSpaceUseChange","maxIgisPerGroupBeforeSpaceChange","groupNumber","changeDate","emdOfChangeShortPeriod","emdOfChange","nDominanceChanges","diffAdultsAndSubAdults","realChange"
0,0,19,2012-03-25,268.861591935729,NA,0,-0.5,FALSE
0,0,13,2012-04-15,132.443594004922,NA,0,0.0952380952380913,FALSE
0,0,5,2012-04-15,50.7238671000718,NA,0,0,FALSE
0,1,9,2012-05-06,106.276200523912,NA,0,-2.83333333333334,FALSE
1,0,15,2012-10-09,103.042122758177,NA,0,-0.142857142857142,FALSE
0,1,5,2013-01-29,31.1288861118112,NA,0,-1.28571428571428,FALSE
0,1,3,2013-01-29,39.6450762270678,NA,0,-4.88888888888889,FALSE
0,0,19,2013-04-08,162.824939136332,NA,0,0.399999999999999,FALSE
0,2,24,2013-04-15,242.512470412949,NA,0,-1.6031746031746,FALSE
0,0,7,2013-04-29,68.20193570638,NA,0,0,FALSE
0,1,22,2013-05-13,313.202333110679,NA,0,-0.5,FALSE
0,0,5,2013-05-27,33.0906486224021,NA,0,-1,FALSE
0,1,3,2013-08-05,65.5095582402071,NA,0,1.31111111111111,FALSE
0,0,13,2013-09-02,108.693212562188,NA,0,0,FALSE
0,0,15,2013-10-16,189.236615690207,NA,0,0.833333333333334,FALSE
0,4,5,2013-12-04,59.7607803231008,NA,1,-1.31944444444444,FALSE
0,1,14,2013-12-10,99.7729957089398,NA,0,-0.375,FALSE
0,0,19,2013-12-17,135.435245484663,NA,0,-3.44444444444444,FALSE
0,2,13,2013-12-24,295.548596671562,NA,1,-0.166666666666667,FALSE
0,6,20,2013-12-24,344.791608975339,NA,0,-0.75,FALSE
0,2,22,2013-12-24,453.953175217027,NA,0,-1.03571428571429,FALSE
0,5,9,2014-04-08,609.340731729032,NA,0,0.111111111111111,FALSE
0,0,22,2014-04-08,334.501001188419,NA,0,2.25,FALSE
0,0,19,2014-05-06,411.021644171588,NA,0,0.111111111111111,FALSE
1,0,15,2014-06-10,125.096312756655,NA,0,0.833333333333333,FALSE
0,0,5,2014-09-23,103.299287541569,NA,0,2.525,FALSE
0,0,13,2014-10-09,702.602825537708,NA,0,0.899999999999999,FALSE
0,0,14,2014-12-11,71.4725721279734,NA,0,-0.375,FALSE
0,1,13,2015-01-14,353.147550683906,NA,0,0.125,FALSE
0,0,22,2015-06-24,216.265784111751,NA,0,1,FALSE
0,1,5,2015-07-16,66.8157260399141,NA,0,-2.5,FALSE
0,0,22,2015-09-23,250.866049082972,NA,0,1.125,FALSE
0,0,22,2015-10-09,279.653438474162,NA,0,-2.12857142857143,FALSE
0,0,13,2015-10-30,44.2877843405208,NA,1,-0.125,FALSE
