"rankPreUd","rankPostUd","ndviPreUd","ndviPostUd"
244.889344742566,249.203812861967,1985.83451568113,2060.03958209416
63.6994756531866,77.3427199058364,1657.62866934766,1777.83085486295
66.1793158266222,63.8681094032073,1697.61436786593,1730.15855121361
287.40853968362,278.865213217538,2882.04084068949,2805.69023516276
378.21849582273,377.913999208586,3196.15323949111,3317.86771746151
378.403674617679,374.906006970647,3194.16358115533,3197.73169601157
257.623028422612,257.623832119597,2044.67127060763,2075.49095374427
191.189090375612,201.251467848409,1844.61101461534,1892.05351852365
253.317487582247,230.774335225038,2070.45641156488,1942.78932006213
336.869949538664,327.911347595771,2864.85943857437,2672.69972124398
316.140307539091,314.707892974107,2682.73568971153,2865.06889737769
126.295780979936,136.058466497235,1614.15016929375,1621.10174123106
344.212104191372,347.567680371901,2474.75778131114,2538.62152959101
207.123079940994,197.26382001762,1939.46597161296,2000.79494105541
394.09783923776,398.267417257053,3483.9200608404,3748.75447751674
374.980439126348,366.214307400406,3181.32229098674,3305.11635392869
377.852960184266,362.365302765656,2968.76620930585,3173.18093565683
354.076005102465,346.531788524295,2924.66393632658,2773.56894989752
64.6056257310909,57.7740926181832,1632.1160928126,1704.22133286598
44.2014731088795,47.4391637363838,1630.36025917586,1581.11737981016
72.5830606382743,87.4009883093277,1634.23339230574,1676.53108500384
133.430285001671,195.736238054691,1806.69362438425,2006.7777870033
232.801796209856,209.988571172375,2008.5824444894,2038.969326148
104.376834349091,101.579910008374,1732.02272828901,1680.4162271001
148.130864857981,182.362584468434,1818.63445662683,1843.22026735775
264.00877733481,273.072655679883,2303.7480728536,2196.41892021103
